100,200,500,800
0.004,0.016,0.144,0.553
0.002,0.015,0.149,0.574
0.002,0.013,0.136,0.562
0.002,0.019,0.156,0.533
0.002,0.011,0.147,0.609
0.002,0.012,0.15,0.558
0.003,0.012,0.133,0.549
0.002,0.013,0.131,0.608
0.002,0.011,0.138,0.562
0.002,0.014,0.137,0.577
0.002,0.012,0.147,0.564
0.002,0.011,0.131,0.571
0.003,0.011,0.136,0.571
0.002,0.012,0.151,0.637
0.002,0.011,0.138,0.541
0.002,0.011,0.139,0.548
0.001,0.013,0.132,0.571
0.002,0.012,0.136,0.666
0.002,0.011,0.135,0.543
0.003,0.012,0.146,0.637
0.003,0.012,0.132,0.554
0.002,0.013,0.134,0.566
0.002,0.011,0.137,0.567
0.002,0.011,0.133,0.564
0.002,0.015,0.139,0.538
0.002,0.014,0.139,0.614
0.002,0.013,0.144,0.542
0.003,0.012,0.139,0.571
0.003,0.013,0.133,0.572
0.002,0.012,0.136,0.539
0.002,0.014,0.132,0.567
0.002,0.013,0.14,0.537
0.002,0.02,0.132,0.563
0.002,0.012,0.137,0.529
0.003,0.012,0.13,0.573
0.002,0.012,0.148,0.563
0.002,0.012,0.137,0.542
0.002,0.011,0.129,0.578
0.002,0.012,0.141,0.628
0.002,0.012,0.133,0.514
0.002,0.01,0.135,0.565
0.002,0.011,0.142,0.627
0.004,0.012,0.137,0.606
0.002,0.011,0.13,0.553
0.003,0.011,0.132,0.636
0.002,0.012,0.129,0.582
0.002,0.01,0.133,0.463
0.002,0.011,0.138,0.442
0.002,0.012,0.134,0.446
0.003,0.01,0.136,0.46
0.002,0.01,0.153,0.449
0.002,0.011,0.165,0.451
0.002,0.011,0.163,0.467
0.002,0.011,0.17,0.431
0.002,0.012,0.186,0.472
0.003,0.01,0.161,0.433
0.002,0.011,0.154,0.532
0.002,0.012,0.158,0.579
0.002,0.01,0.146,0.608
0.002,0.012,0.139,0.434
0.002,0.011,0.134,0.44
0.002,0.016,0.13,0.471
0.002,0.011,0.137,0.433
0.002,0.012,0.147,0.428
0.002,0.012,0.144,0.437
0.003,0.01,0.135,0.532
0.002,0.012,0.144,0.47
0.002,0.012,0.147,0.443
0.002,0.01,0.133,0.429
0.002,0.012,0.135,0.455
0.002,0.012,0.141,0.459
0.003,0.011,0.142,0.442
0.002,0.012,0.138,0.445
0.002,0.011,0.135,0.437
0.002,0.01,0.195,0.427
0.003,0.012,0.135,0.43
0.002,0.012,0.135,0.565
0.002,0.01,0.136,0.461
0.002,0.012,0.152,0.434
0.004,0.012,0.147,0.421
0.002,0.012,0.135,0.453
0.002,0.01,0.13,0.423
0.002,0.012,0.129,0.425
0.003,0.011,0.133,0.439
0.002,0.011,0.156,0.505
0.008,0.012,0.182,0.425
0.003,0.013,0.184,0.423
0.002,0.01,0.162,0.459
0.002,0.011,0.149,0.433
0.003,0.016,0.152,0.427
0.003,0.012,0.137,0.433
0.003,0.01,0.138,0.441
0.003,0.012,0.132,0.464
0.002,0.012,0.145,0.449
0.003,0.01,0.133,0.43
0.002,0.012,0.129,0.452
0.003,0.013,0.137,0.437
0.003,0.01,0.131,0.42
0.002,0.011,0.139,0.429
0.002,0.012,0.144,0.451
