10000,100000,1000000,10000000
0.002,0.01,0.075,0.9
0.001,0.009,0.074,0.859
0.001,0.009,0.091,0.824
0.002,0.011,0.077,0.818
0.002,0.01,0.074,0.816
0.001,0.012,0.086,0.843
0.001,0.012,0.075,0.817
0.001,0.01,0.084,0.838
0.001,0.011,0.074,0.814
0.001,0.011,0.091,0.87
0.001,0.01,0.089,0.889
0.001,0.01,0.076,0.87
0.002,0.008,0.077,0.854
0.001,0.009,0.097,0.828
0.001,0.009,0.088,0.831
0.001,0.01,0.082,0.83
0.001,0.009,0.086,0.82
0.001,0.01,0.079,0.836
0.001,0.016,0.091,0.818
0.001,0.01,0.079,0.826
0.001,0.009,0.078,0.859
0.001,0.01,0.09,0.829
0.001,0.01,0.08,0.898
0.001,0.01,0.075,0.821
0.001,0.01,0.091,0.825
0.001,0.009,0.075,0.824
0,0.01,0.089,0.828
0.001,0.008,0.075,0.822
0.001,0.017,0.086,0.817
0.001,0.01,0.094,0.838
0.001,0.01,0.107,0.994
0,0.01,0.077,0.951
0.001,0.01,0.079,0.89
0.001,0.009,0.085,0.903
0.001,0.008,0.092,0.878
0.001,0.008,0.077,0.865
0.002,0.009,0.08,0.894
0.001,0.009,0.086,0.904
0.001,0.009,0.078,0.893
0.001,0.008,0.074,0.857
0.001,0.008,0.087,0.899
0.001,0.008,0.092,0.857
0.001,0.011,0.102,0.88
0.001,0.013,0.074,0.897
0,0.007,0.088,0.899
0.001,0.01,0.085,0.854
0.001,0.007,0.09,0.898
0.001,0.009,0.077,0.87
0.001,0.007,0.075,0.921
0.001,0.01,0.077,0.879
0.001,0.008,0.09,0.868
0.001,0.008,0.076,0.9
0.002,0.008,0.075,0.926
0.001,0.009,0.089,0.953
0.001,0.007,0.082,0.904
0.001,0.009,0.078,0.946
0.001,0.007,0.087,0.949
0.001,0.008,0.078,1.058
0.001,0.008,0.085,0.913
0.001,0.008,0.075,0.871
0.001,0.007,0.089,0.876
0.001,0.008,0.084,0.885
0.001,0.008,0.088,0.968
0,0.007,0.075,0.953
0.001,0.007,0.079,0.926
0.001,0.007,0.074,0.89
0.001,0.009,0.085,0.903
0.001,0.012,0.077,0.871
0.001,0.008,0.079,0.884
0.002,0.007,0.127,0.923
0.001,0.008,0.078,0.915
0.001,0.007,0.076,0.875
0,0.008,0.076,0.882
0.001,0.008,0.08,0.895
0.001,0.009,0.085,0.907
0.001,0.007,0.074,0.866
0.001,0.009,0.076,0.913
0.001,0.007,0.081,0.912
0.001,0.01,0.078,0.978
0.001,0.007,0.085,0.915
0.001,0.009,0.075,0.856
0,0.008,0.079,0.907
0.001,0.009,0.074,0.862
0.001,0.007,0.08,0.911
0.001,0.009,0.079,0.913
0.001,0.007,0.08,0.895
0.001,0.007,0.075,0.858
0.002,0.008,0.084,0.896
0.001,0.007,0.08,0.889
0.001,0.007,0.077,0.934
0.001,0.008,0.083,0.962
0.001,0.008,0.076,0.904
0,0.007,0.079,0.865
0.001,0.008,0.088,0.882
0.001,0.008,0.077,0.86
0.001,0.009,0.083,0.871
0.001,0.007,0.074,0.935
0.001,0.008,0.084,1.017
0.001,0.007,0.084,0.941
0.001,0.009,0.078,0.904
